Status,SectionNode,EquationName,Reference,Description,EquationAsText,ResultVariable,InputVariable1,InputVariable2,InputVariable3,InputVariable4,InputVariable5,InputVariable6,InputVariable7,InputVariable8,InputVariable9,TestCalulation,TestInput1,TestInput2,TestInput3,TestInput4,TestInput5,TestInput6,TestInput7,TestInput8,TestInput9
1,B) Areas>Page B1>Square,,b 1,,A = a^2,A:Area:Area,a:Side:Length,,,,,,,,,18.49,4.3,,,,,,,,
1,B) Areas>Page B1>Square,,b 2,,a = Sqrt(A),a:Side:Length,A:Area:Area,,,,,,,,,2.366431913,5.6,,,,,,,,
1,B) Areas>Page B1>Square,,b 3,,d = a*Sqrt(2),d:Diagonal:Length,a:Side:Length,,,,,,,,,4.384062043,3.1,,,,,,,,
1,B) Areas>Page B1>Rectangle,,b 4,,A=a*b,A:Area:Area,a:Side:Length,b:Side:Length,,,,,,,,93.03,2.1,44.3,,,,,,,
1,B) Areas>Page B1>Rectangle,,b 5,,d=Sqrt(a^2+b^2),d:Diagonal:Length,a:Side:Length,b:Side:Length,,,,,,,,44.34974634,2.1,44.3,,,,,,,
1,B) Areas>Page B1>Parallelogram,,b 6a,,A = a*h,A:Area:Area,a:Side:Length,h:Height:Length,,,,,,,,93.03,2.1,44.3,,,,,,,
-1,B) Areas>Page B1>Parallelogram,,b 6b,,A = a*b*sin(alpha),A:Area:Area,a:Side:Length,b:Side:Length,alpha:Small angle:plane angle,,,,,,,31.02430418,2.1,44.3,0.34,,,,,,
-1,B) Areas>Page B1>Parallelogram,,b 7,,d1 = Sqrt( (a+ h*cotan(alpha) )^2 + h^2),d1:Long Diagonal:Length,a:Side:Length,h:Height:Length,alpha:Small angle:plane angle,,,,,,,134.8203283,2.1,44.3,0.34,,,,,,
-1,B) Areas>Page B1>Parallelogram,,b 8,,d2 = Sqrt( (a- h*cotan(alpha) )^2 + h^2),d2:Short Diagonal:Length,a:Side:Length,h:Height:Length,alpha:Small angle:plane angle,,,,,,,130.8608138,2.1,44.3,0.34,,,,,,
,B) Areas>Page B1>Trapezium,,b 9,,A=((a+b)/2)*h,A:Area:Area,a:Short parallel:Length,b:Long parallel:Length,h:Perpendicular height:Length,,,,,,,27.9,8,10,3.1,,,,,,
-1,B) Areas>Page B1>Trapezium,,b 10,,,,,,,,,,,,,,,,,,,,,,
-1,B) Areas>Page B1>Triangle,,b 11/1a,,,,,,,,,,,,,,,,,,,,,,
-1,B) Areas>Page B1>Triangle,,b 11/1b,,,,,,,,,,,,,,,,,,,,,,
-1,B) Areas>Page B1>Triangle,,b 11/2,,,,,,,,,,,,,,,,,,,,,,
-1,B) Areas>Page B1>Triangle,,b 12,,,,,,,,,,,,,,,,,,,,,,
-1,B) Areas>Page B1>Triangle,,b 13/4,,,,,,,,,,,,,,,,,,,,,,
-1,B) Areas>Page B1>Triangle,,b 13/1,,,,,,,,,,,,,,,,,,,,,,
-1,B) Areas>Page B1>Triangle,,b 13/2,,,,,,,,,,,,,,,,,,,,,,
-1,B) Areas>Page B1>Triangle,,b 13/3,,,,,,,,,,,,,,,,,,,,,,
,B) Areas>Page B1>Equilateral Triangle,,b 14,,A=((a^2)/4)*sqrt(3),A:Area:Area,a:Side:Length,,,,,,,,,75.44813318,13.2,,,,,,,,
,B) Areas>Page B1>Equilateral Triangle,,b 15,,h=(a/2)*sqrt(3),h:Perpendicular height:Length,a:Side:Length,,,,,,,,,11.43153533,13.2,,,,,,,,
