Source,Status,SectionNode,EquationName,EquationRef,Description,EquationAsText,ResultVariable,InputVariable1,InputVariable2,InputVariable3,InputVariable4,InputVariable5,InputVariable6,InputVariable7,InputVariable8,InputVariable9,TestCalulation,TestInput1,TestInput2,TestInput3,TestInput4,TestInput5,TestInput6,TestInput7,TestInput8,TestInput9
,,Chapter_01>Page_01>Section_01,,Eq_01_01_01_01,,A0001 = (PI/4)*(D^2-d^2),A0001:Area:Area,D:Outer Diameter:length,d:Inner Diameter:length,,,,,,,,-19.25384995,4.267231177,6.53636176,,,,,,,
,,Chapter_01>Page_01>Section_01,,Eq_01_01_01_02,,A0002 = (PI/4)*(D^2-d^2),A0002:Area:Area,D:Outer Diameter:length,d:Inner Diameter:length,,,,,,,,36.18433217,9.560762526,6.733264992,,,,,,,
,,Chapter_01>Page_01>Section_01,,Eq_01_01_01_03,,A0003 = (PI/4)*(D^2-d^2),A0003:Area:Area,D:Outer Diameter:length,d:Inner Diameter:length,,,,,,,,6.588322014,3.092956885,1.085297271,,,,,,,
,,Chapter_01>Page_01>Section_01,,Eq_01_01_01_04,,A0004 = (PI/4)*(D^2-d^2),A0004:Area:Area,D:Outer Diameter:length,d:Inner Diameter:length,,,,,,,,0.89682227,1.606193127,1.199160866,,,,,,,
,,Chapter_01>Page_01>Section_02,,Eq_01_01_02_01,,A0005 = (PI/4)*(D^2-d^2),A0005:Area:Area,D:Outer Diameter:length,d:Inner Diameter:length,,,,,,,,27.12241893,7.025858302,3.85088932,,,,,,,
,,Chapter_01>Page_01>Section_02,,Eq_01_01_02_02,,A0006 = (PI/4)*(D^2-d^2),A0006:Area:Area,D:Outer Diameter:length,d:Inner Diameter:length,,,,,,,,43.01418992,9.942475028,6.639686898,,,,,,,
,,Chapter_01>Page_01>Section_02,,Eq_01_01_02_03,,A0007 = (PI/4)*(D^2-d^2),A0007:Area:Area,D:Outer Diameter:length,d:Inner Diameter:length,,,,,,,,24.0198213,5.531927601,0.138696199,,,,,,,
,,Chapter_01>Page_01>Section_02,,Eq_01_01_02_04,,A0008 = (PI/4)*(D^2-d^2),A0008:Area:Area,D:Outer Diameter:length,d:Inner Diameter:length,,,,,,,,21.29263086,8.6808933,6.94602684,,,,,,,
,,Chapter_01>Page_01>Section_03,,Eq_01_01_03_01,,A0009 = (PI/4)*(D^2-d^2),A0009:Area:Area,D:Outer Diameter:length,d:Inner Diameter:length,,,,,,,,-20.18502119,2.421466928,5.618173126,,,,,,,
,,Chapter_01>Page_01>Section_03,,Eq_01_01_03_02,,A0010 = (PI/4)*(D^2-d^2),A0010:Area:Area,D:Outer Diameter:length,d:Inner Diameter:length,,,,,,,,-6.826233611,5.972700861,6.660674601,,,,,,,
,,Chapter_01>Page_01>Section_03,,Eq_01_01_03_03,,A0011 = (PI/4)*(D^2-d^2),A0011:Area:Area,D:Outer Diameter:length,d:Inner Diameter:length,,,,,,,,-0.747959709,1.995625947,2.221453308,,,,,,,
,,Chapter_01>Page_01>Section_03,,Eq_01_01_03_04,,A0012 = (PI/4)*(D^2-d^2),A0012:Area:Area,D:Outer Diameter:length,d:Inner Diameter:length,,,,,,,,30.088638,8.835766555,6.305610744,,,,,,,
,,Chapter_01>Page_01>Section_04,,Eq_01_01_04_01,,A0013 = (PI/4)*(D^2-d^2),A0013:Area:Area,D:Outer Diameter:length,d:Inner Diameter:length,,,,,,,,-1.896810241,1.360012878,2.065121991,,,,,,,
,,Chapter_01>Page_01>Section_04,,Eq_01_01_04_02,,A0014 = (PI/4)*(D^2-d^2),A0014:Area:Area,D:Outer Diameter:length,d:Inner Diameter:length,,,,,,,,27.80585218,7.345440781,4.307202073,,,,,,,
,,Chapter_01>Page_01>Section_04,,Eq_01_01_04_03,,A0015 = (PI/4)*(D^2-d^2),A0015:Area:Area,D:Outer Diameter:length,d:Inner Diameter:length,,,,,,,,-14.10685641,4.786834482,6.393370925,,,,,,,
,,Chapter_01>Page_01>Section_04,,Eq_01_01_04_04,,A0016 = (PI/4)*(D^2-d^2),A0016:Area:Area,D:Outer Diameter:length,d:Inner Diameter:length,,,,,,,,-68.81266911,1.728810262,9.51860265,,,,,,,
,,Chapter_01>Page_01>Section_05,,Eq_01_01_05_01,,A0017 = (PI/4)*(D^2-d^2),A0017:Area:Area,D:Outer Diameter:length,d:Inner Diameter:length,,,,,,,,-2.025957984,0.569204285,1.703972811,,,,,,,
,,Chapter_01>Page_01>Section_05,,Eq_01_01_05_02,,A0018 = (PI/4)*(D^2-d^2),A0018:Area:Area,D:Outer Diameter:length,d:Inner Diameter:length,,,,,,,,-0.172626008,0.137860086,0.488671324,,,,,,,
